id,text (post_caption),meme_text,caption_theme,meme_theme,image_desc,link
1,Iranian media mocks Trump with viral meme about controlling Hormuz,Controlling Hormuz,"framing, amplification","satire, geopolitics",Trump with steering wheel symbolizing control over geopolitics,https://x.com/PamphletsY/status/2036199028824695181
2,Iranian trolling is getting too good,(no clear text),"admiration, amplification","satire, power, exclusion",Trump being denied entry while global leaders sit inside VIP Hormuz club,https://x.com/AdameMedia/status/2038243277166538766
3,I made a meme about Iran and you better all like it,I made a meme about Iran and you better all like it,"self-referential, humor","satire, absurdity, conflict",Multi-panel meme showing Trump and Iranian leader interaction ending in explosion,https://x.com/BasedBandita/status/1936613099697479855
4,When you don’t want to get involved in another middle eastern war but if you topple Iran you cut off China’s oil supply,(same as caption),analytical framing,"geopolitics, dilemma, strategy",Reaction meme (Larry David) expressing hesitation in geopolitical dilemma,https://x.com/MostlyPeaceful/status/2027707881605177575
5,Iranians are frustrated that Israel didn't attack Khamenei's residence,(no clear text),"descriptive, amplification","satire, targeting, geopolitics",Meme showing a man pointing at a map highlighting leader’s location,https://x.com/DrEliDavid/status/1850137561311723668
6,The Iranian Air Force prepping to mobilize their best flying carpets,The Iranian Air Force prepping to mobilize their best flying carpets,"neutral, humor","stereotype, satire, cultural reference",Workers arranging Persian carpets framed as military preparation,https://x.com/mask_bastard/status/1779308827864658418
7,Third worlders watching America obliterate Iran’s military,(same as caption),framing,"power, spectatorship, inequality",Reaction meme (Star Wars character) expressing shock at overwhelming military force,https://x.com/MostlyPeaceful/status/2029336000200360437
8,A message to the U.S. Military about to fight in Iran,remember who you're fighting for,"mobilization, propaganda","propaganda, identity, militarization","Soldier POV image (helmet, weapon) with embedded motivational message",
9,This sums up the USA-Iran war,(no clear text),"framing, emotional","propaganda, emotional appeal, fear",Soldier hugging child representing emotional justification of war,https://x.com/shaanhaider/status/2028089508668092738
11,(no caption),Me laughing at World War 3 memes vs me after I get drafted,neutral,"humor, reality shift, anxiety",Split image showing a happy cartoon character vs serious military formation,https://x.com/NoahKingJr/status/2027745574418846145
12,(no caption),"Me at war, in a corner sharing memes because I ran out of bullets",neutral,"humor, absurdity, coping, digital escapism",Soldier leaning against wall using phone during combat,https://x.com/j4jayjay_/status/2027657981232349441
13,(no caption),Americans: Why do foreigners care so much about our elections? / US military bases:,critical framing,"geopolitics, militarization, irony",World map filled with markers showing US military bases globally,https://x.com/ShangguanJiewen/status/1850210747105624394
14,Saudi Arabia wins the humiliation meme so far,(no clear text),evaluative framing,"geopolitics, power, humiliation",Trump standing while a Saudi figure kneels behind him indicating hierarchy,https://x.com/realgerhardtvdm/status/2038261017533391195
15,(no caption),I was told no new wars / The Gulf of Broken Campaign Promises,critical,"political critique, irony, geopolitics, trust",Map edited to show “The Gulf of Broken Campaign Promises”,https://x.com/LibertyCappy/status/2033946043180581361
